'00763U'
'00770'
'00771'
'00775B'
'00783'
'00830'
'00850'
'00851'
'00852L'
'00861'
'00865B'
'00875'
'00876'
'00878'
'00881'
'00882'
'00885'
'00891'
'00892'
'00893'
'00894'
'00895'
'00896'
'00897'
'00898'
'00899'
'00900'
'00901'
'00902'
'00903'
'00904'
'00905'
'00907'
'00908'
'00909'
'00910'
'00911'
'00912'
'00913'
'00915'
'00916'
'00917'
'00918'
'00919'
'00920'
'00921'
'00922'
'00923'
'00924'
'00925'
'00926'
'00927'
'00929'
'00930'
'00932'
'00934'
'00935'
'00936'
'00939'
'00940'
'00941'
'00944'
'00945B'
'00946'
'01001T'
'01002T'
'01004T'
'01007T'
'01009T'
'01010T'
'020000'
'020011'
'020012'
'020015'
'020016'
'020018'
'020019'
'02001L'
'02001R'
'02001S'
'020020'
'020028'
'020029'
'020030'
'020031'
'020032'
'020034'
'020036'
'020037'
'020038'
'020039'
'1101'
'1101B'
'1102'
'1103'
'1104'
'1108'
'1109'
'1110'
'1201'
